num_downloads,day,pack_name,avg10,avg20,avg30
4178,2018-08-11,beautifulsoup,6973.5,5603.25,4177.933333333333
7608,2018-08-10,beautifulsoup,7456.2,5519.15,4059.7
8929,2018-08-09,beautifulsoup,7551.9,5233.65,3822.6666666666665
9067,2018-08-08,beautifulsoup,7454.8,4813.95,3566.6
8437,2018-08-07,beautifulsoup,6934.0,4399.65,3337.2
7781,2018-08-06,beautifulsoup,6558.2,4008.3,3166.6
3670,2018-08-05,beautifulsoup,6526.2,3647.2,3015.3
3540,2018-08-04,beautifulsoup,6183.6,3509.2,2978.3
7931,2018-08-03,beautifulsoup,5833.2,3464.65,2926.4666666666667
8594,2018-08-02,beautifulsoup,5043.4,3176.35,2746.633333333333
9005,2018-08-01,beautifulsoup,4233.0,2780.15,2577.8333333333335
8565,2018-07-31,beautifulsoup,3582.1,2361.45,2398.233333333333
7958,2018-07-30,beautifulsoup,2915.4,1958.05,2206.5333333333333
3859,2018-07-29,beautifulsoup,2173.1,1622.5,2031.7666666666667
4679,2018-07-28,beautifulsoup,1865.3,1538.8,2022.8333333333333
7461,2018-07-27,beautifulsoup,1458.4,1470.8,1916.4
244,2018-07-26,beautifulsoup,768.2,1259.85,1717.2333333333333
36,2018-07-25,beautifulsoup,834.8,1375.65,1761.7666666666667
33,2018-07-24,beautifulsoup,1096.1,1473.1,1833.9666666666667
490,2018-07-23,beautifulsoup,1309.3,1598.25,1932.5
2496,2018-07-22,beautifulsoup,1327.3,1750.25,2005.1666666666667
1898,2018-07-21,beautifulsoup,1140.8,1806.3,1969.8666666666666
535,2018-07-20,beautifulsoup,1000.7,1852.1,1956.8666666666666
781,2018-07-19,beautifulsoup,1071.9,1961.1,1990.5
610,2018-07-18,beautifulsoup,1212.3,2101.6,2033.1
559,2018-07-17,beautifulsoup,1483.2,2145.4,2069.9
910,2018-07-16,beautifulsoup,1751.5,2191.75,2140.2
2649,2018-07-15,beautifulsoup,1916.5,2225.25,2205.866666666667
2165,2018-07-14,beautifulsoup,1850.1,2202.9,2191.1666666666665
670,2018-07-13,beautifulsoup,1887.2,2244.1,2174.5333333333333
631,2018-07-12,beautifulsoup,2173.2,2344.1,2211.8
497,2018-07-11,beautifulsoup,2471.8,2384.4,2267.0666666666666
1247,2018-07-10,beautifulsoup,2703.5,2434.95,2326.0
2185,2018-07-09,beautifulsoup,2850.3,2449.8,2383.7
3319,2018-07-08,beautifulsoup,2990.9,2443.5,2411.5333333333333
3242,2018-07-07,beautifulsoup,2807.6,2363.25,2411.133333333333
2560,2018-07-06,beautifulsoup,2632.0,2334.55,2363.233333333333
1985,2018-07-05,beautifulsoup,2534.0,2350.55,2338.8333333333335
2536,2018-07-04,beautifulsoup,2555.7,2361.7,2334.4333333333334
3530,2018-07-03,beautifulsoup,2601.0,2318.2,2318.633333333333
3617,2018-07-02,beautifulsoup,2515.0,2231.1,2292.5
2814,2018-07-01,beautifulsoup,2297.0,2164.7,2262.0666666666666
2715,2018-06-30,beautifulsoup,2166.4,2137.25,2234.133333333333
3591,2018-06-29,beautifulsoup,2049.3,2150.4,2211.9
1486,2018-06-28,beautifulsoup,1896.1,2121.85,2147.4666666666667
1486,2018-06-27,beautifulsoup,1918.9,2212.9,2179.133333333333
1580,2018-06-26,beautifulsoup,2037.1,2228.85,2222.4666666666667
2202,2018-06-25,beautifulsoup,2167.1,2241.25,2275.1
2989,2018-06-24,beautifulsoup,2167.7,2223.8,2316.3333333333335
2670,2018-06-23,beautifulsoup,2035.4,2177.45,2300.233333333333
1437,2018-06-22,beautifulsoup,1947.2,2181.25,2303.1
1508,2018-06-21,beautifulsoup,2032.4,2244.6,2316.4333333333334
1544,2018-06-20,beautifulsoup,2108.1,2268.0,2354.366666666667
2059,2018-06-19,beautifulsoup,2251.5,2293.2,2421.6666666666665
1714,2018-06-18,beautifulsoup,2347.6,2273.15,2504.2
2668,2018-06-17,beautifulsoup,2506.9,2309.25,2593.3333333333335
2880,2018-06-16,beautifulsoup,2420.6,2315.15,2596.2
2208,2018-06-15,beautifulsoup,2315.4,2329.1,2551.3
1666,2018-06-14,beautifulsoup,2279.9,2390.65,2534.3
1788,2018-06-13,beautifulsoup,2319.5,2432.65,2544.5
2289,2018-06-12,beautifulsoup,2415.3,2481.05,2580.133333333333
2265,2018-06-11,beautifulsoup,2456.8,2458.45,2665.1
2978,2018-06-10,beautifulsoup,2427.9,2477.5,2728.866666666667
3020,2018-06-09,beautifulsoup,2334.9,2506.75,2724.5
3307,2018-06-08,beautifulsoup,2198.7,2582.5,2713.5
1805,2018-06-07,beautifulsoup,2111.6,2636.55,2728.4333333333334
1828,2018-06-06,beautifulsoup,2209.7,2684.0,2729.5
1853,2018-06-05,beautifulsoup,2342.8,2669.25,2753.766666666667
2062,2018-06-04,beautifulsoup,2501.4,2661.5,2842.133333333333
2746,2018-06-03,beautifulsoup,2545.8,2657.0,2975.7
2704,2018-06-02,beautifulsoup,2546.8,2662.55,2979.733333333333
